Card Name,# on Card,Set/Type Name,TCGPlayer Category,Variation,Grandmaster?,Price,
Cleffa,48/144 ,Skyridge,Skyridge,Reverse Uncommon,No,$50.00,
Lotad,SH4,Platinum,Platinum,Shiny Holo,No,$54.70,
Ludicolo,7/100 ,EX Sandstorm,Sandstorm,Reverse Holo,No,$59.95,
Ludicolo,19/107 ,EX Deoxys,Deoxys,Reverse Rare,No,$60.00,
Piplup,72/100 ,Diamond & Pearl - Majestic Dawn,Majestic Dawn,Reverse Common,No,$64.99,
Erika's Clefable,3/132 ,Gym Heroes,Gym Heroes,1st Edition Holo,Yes,$68.75,
Clefable,1/64,Jungle,Jungle,1st Edition Holo,Yes,$68.97,6
Clefable,7/165 ,Expedition Base Set,Expedition,Holo,No,$97.77,
Clefairy,101/165 ,Expedition Base Set,Expedition,Reverse Common,No,$119.99,
Empoleon,117/116 ,Black & White - Plasma Freeze,Plasma Freeze,Secret Rare,No,$180.00,
Clefairy,5/102,Base Set,Base Set (Shadowless),1st Edition Holo,Yes,$239.99,
Clefable,1/64,Jungle,WoTC Promos,Prerelease Holo,Yes,$998.20,
Piplup,93/130,Diamond & Pearl,N/A,San Diego 07,Yes,N/A,
Piplup,93/130,Diamond & Pearl,N/A,Pokemon Day 2008,Yes,N/A,
